  0.000000	-0.000000	0.000000	-0.000000	0.000000	0.000000	-0.062500	-0.271800	0.198600
0.000112	-0.007490	0.000620	-0.000000	0.000000	0.000000	-0.062500	-0.271800	0.198600
0.000346	-0.023284	0.001917	-0.000000	0.000000	0.000000	-0.062500	-0.271800	0.198600
0.000614	-0.041761	0.003441	0.000001	-0.000000	-0.000000	-0.062500	-0.271800	0.198600
0.000913	-0.062630	0.005172	0.000003	-0.000002	-0.000001	-0.062500	-0.271800	0.198600
0.001239	-0.085495	0.007075	0.000005	-0.000006	-0.000003	-0.062500	-0.271800	0.198600
0.001582	-0.109851	0.009108	0.000009	-0.000012	-0.000007	-0.062500	-0.271800	0.198600
0.001932	-0.135089	0.011226	0.000012	-0.000021	-0.000012	-0.064100	-0.275000	0.199600
0.002279	-0.160495	0.013368	0.000017	-0.000034	-0.000019	-0.064100	-0.275000	0.199600
0.002609	-0.185245	0.015470	0.000022	-0.000051	-0.000028	-0.064100	-0.275000	0.199600
0.002913	-0.208427	0.017455	0.000028	-0.000072	-0.000041	-0.064100	-0.275000	0.199600
0.003179	-0.229043	0.019236	0.000034	-0.000097	-0.000056	-0.064100	-0.275000	0.199600
0.003392	-0.246012	0.020722	0.000039	-0.000127	-0.000075	-0.064100	-0.275000	0.199600
0.003536	-0.258191	0.021817	0.000045	-0.000161	-0.000097	-0.064100	-0.275000	0.199600
0.003593	-0.264381	0.022420	0.000051	-0.000199	-0.000122	-0.064100	-0.275000	0.199600
0.003546	-0.263341	0.022425	0.000056	-0.000240	-0.000150	-0.064100	-0.275000	0.199600
0.003375	-0.253809	0.021725	0.000060	-0.000284	-0.000180	-0.064100	-0.275000	0.199600
0.003061	-0.234515	0.020209	0.000063	-0.000330	-0.000213	-0.064100	-0.275000	0.199600
0.002589	-0.204206	0.017770	0.000065	-0.000377	-0.000247	-0.064100	-0.275000	0.199600
0.001946	-0.161650	0.014306	0.000065	-0.000424	-0.000282	-0.060900	-0.270500	0.200200
0.001117	-0.105671	0.009713	0.000063	-0.000468	-0.000317	-0.060900	-0.270500	0.200200
0.000086	-0.035159	0.003896	0.000059	-0.000509	-0.000350	-0.060900	-0.270500	0.200200
-0.001165	0.050910	-0.003230	0.000052	-0.000544	-0.000380	-0.060900	-0.270500	0.200200
-0.002644	0.153451	-0.011750	0.000043	-0.000572	-0.000407	-0.060900	-0.270500	0.200200
-0.004358	0.273256	-0.021736	0.000030	-0.000591	-0.000428	-0.060900	-0.270500	0.200200
-0.006316	0.410977	-0.033245	0.000015	-0.000598	-0.000442	-0.060900	-0.270500	0.200200
-0.008519	0.567117	-0.046325	-0.000004	-0.000592	-0.000448	-0.060900	-0.270500	0.200200
-0.010973	0.742014	-0.061006	-0.000026	-0.000569	-0.000443	-0.060900	-0.270500	0.200200
-0.013674	0.935824	-0.077304	-0.000051	-0.000530	-0.000427	-0.060900	-0.270500	0.200200
-0.016620	1.148524	-0.095225	-0.000079	-0.000470	-0.000397	-0.060900	-0.270500	0.200200
-0.019804	1.379892	-0.114754	-0.000109	-0.000389	-0.000352	-0.060900	-0.270500	0.200200
-0.023220	1.629516	-0.135861	-0.000142	-0.000284	-0.000291	-0.060900	-0.270500	0.200200
-0.026854	1.896787	-0.158496	-0.000178	-0.000155	-0.000212	-0.064100	-0.272800	0.197900
-0.030693	2.180902	-0.182592	-0.000216	0.000001	-0.000114	-0.064100	-0.272800	0.197900
-0.034723	2.480870	-0.208073	-0.000255	0.000184	0.000003	-0.064100	-0.272800	0.197900
-0.038928	2.795516	-0.234841	-0.000296	0.000395	0.000141	-0.064100	-0.272800	0.197900
-0.043294	3.123495	-0.262785	-0.000338	0.000634	0.000301	-0.064100	-0.272800	0.197900
-0.047799	3.463304	-0.291786	-0.000381	0.000901	0.000481	-0.064100	-0.272800	0.197900
-0.052419	3.813292	-0.321706	-0.000423	0.001197	0.000684	-0.064100	-0.272800	0.197900
-0.057121	4.171683	-0.352396	-0.000464	0.001520	0.000907	-0.064100	-0.272800	0.197900
-0.061882	4.536591	-0.383700	-0.000505	0.001869	0.001151	-0.064100	-0.272800	0.197900
-0.066674	4.906045	-0.415452	-0.000543	0.002243	0.001416	-0.064100	-0.272800	0.197900
-0.071467	5.278009	-0.447484	-0.000579	0.002640	0.001699	-0.064100	-0.272800	0.197900
-0.076235	5.650402	-0.479619	-0.000612	0.003057	0.002000	-0.064100	-0.272800	0.197900
-0.080949	6.021127	-0.511682	-0.000642	0.003494	0.002317	-0.067300	-0.275700	0.200300
-0.085580	6.388090	-0.543497	-0.000667	0.003946	0.002648	-0.067300	-0.275700	0.200300
